,flow,numberOfCars,travelTime
0,0.0,0,11.1
1,0.0,0,11.1
2,0.0,0,11.1
3,0.0,0,11.1
4,0.0,0,11.1
5,0.0,0,11.1
6,0.0,0,11.1
7,0.0,0,11.1
8,0.0,0,11.1
9,0.0,0,11.1
10,0.0,0,11.1
11,0.0,0,11.1
12,0.0,0,11.1
13,0.0,0,11.1
14,0.0,0,11.1
15,0.0,0,11.1
16,0.0,0,11.1
17,0.0,0,11.1
18,0.0,0,11.1
19,0.0,0,11.1
20,0.0,0,11.1
21,0.0,0,11.1
22,0.0,0,11.1
23,0.0,0,11.1
24,0.0,0,11.1
25,0.0,0,11.1
26,0.0,0,11.1
27,0.0,0,11.1
28,0.0,0,11.1
29,0.0,0,11.1
30,0.0,0,11.1
31,0.0,0,11.1
32,0.0,0,11.1
33,0.0,0,11.1
34,0.0,0,11.1
35,0.038,1,11.698512119000107
36,0.074,1,11.538978852495934
37,0.131,2,11.74200703742774
38,0.202,3,11.466282121939374
39,0.234,3,11.23699707119501
40,0.222,3,11.560210123501122
41,0.229,3,11.376762697118906
42,0.231,3,11.557117650844948
43,0.224,3,11.423021103326672
44,0.378,4,11.1983987422675
45,0.307,4,11.327652873449637
46,0.301,4,11.680684990206395
47,0.288,4,11.954855162722275
48,0.321,5,13.311328581550661
49,0.274,5,14.600788261143611
50,0.186,3,13.966860269959753
51,0.249,4,14.075613706433977
52,0.224,3,11.67267871836086
53,0.222,3,11.874823786832302
54,0.219,3,12.871575298083787
55,0.222,3,12.37064308943934
56,0.255,4,11.5127134062395
57,0.345,5,11.683490496346238
58,0.305,4,11.387642156936657
59,0.345,4,13.346854097937513
60,0.289,4,12.782210424277295
61,0.28,4,13.004739526369374
62,0.425,5,12.228770646613363
63,0.379,5,11.692560856168257
64,0.521,6,11.608592213392544
65,0.543,7,11.622072416336755
66,0.464,6,11.508276384486596
67,0.463,6,11.314032951855065
68,0.295,4,11.696660543013458
69,0.397,4,11.01171080603681
70,0.159,2,11.137291898868448
71,0.417,4,11.685469082096178
72,0.309,4,11.468426911900298
73,0.233,3,11.427532779184343
74,0.234,3,11.423682881540682
75,0.156,2,11.420887599033104
76,0.086,1,11.902319472463667
77,0.226,2,11.918012811876455
78,0.151,2,11.743738367507426
79,0.195,3,12.38669507462434
80,0.217,3,12.152251322812255
81,0.324,4,11.969981356677977
82,0.216,3,12.160781485357875
83,0.393,4,12.43466844482219
84,0.353,5,12.415677950687446
85,0.359,5,12.282002993626609
86,0.282,4,12.73140242400671
87,0.469,6,12.272484503237667
88,0.363,5,12.17090224470248
89,0.443,5,11.884518070803816
90,0.292,4,11.869854607002967
91,0.534,6,12.045598253484247
92,0.443,6,11.821237930460835
93,0.341,5,12.432534628583912
94,0.327,5,12.636173952116277
95,0.328,5,13.409754128438157
96,0.199,3,13.126633636084891
97,0.341,4,13.038289997279211
98,0.209,3,12.490953643897933
99,0.214,3,12.302847605693824
100,0.112,2,12.471573691617227
101,0.288,3,12.370556035953108
102,0.216,3,12.615939389142413
103,0.143,2,12.460933408538775
104,0.142,2,12.530579285820806
105,0.202,3,12.90297224197045
106,0.203,3,12.803855789902993
107,0.158,2,12.408666618812763
108,0.267,3,13.095986609171442
109,0.3,4,13.100569016800002
110,0.398,6,12.892811718218297
111,0.425,6,12.658923246832984
112,0.364,5,12.63032513060984
