,flow,numberOfCars
0,0.0,0
1,0.0,0
2,0.0,0
3,0.0,0
4,0.0,0
5,0.0,0
6,0.0,0
7,0.0,0
8,0.0,0
9,0.0,0
10,0.0,0
11,0.0,0
12,0.0,0
13,0.0,0
14,0.0,0
15,0.0,0
16,0.0,0
17,0.0,0
18,0.0,0
19,0.0,0
20,0.0,0
21,0.0,0
22,0.0,0
23,0.0,0
24,0.0,0
25,0.0,0
26,0.0,0
27,0.0,0
28,0.0,0
29,0.0,0
30,0.0,0
31,0.0,0
32,0.0,0
33,0.0,0
34,0.0,0
35,0.0,0
36,0.0,0
37,0.0,0
38,0.0,0
39,0.0,0
40,0.0,0
41,0.0,0
42,0.0,0
43,0.0,0
44,0.0,0
45,0.0,0
46,0.0,0
47,0.0,0
48,0.0,0
49,0.066,1
50,0.054,1
51,0.108,2
52,0.127,2
53,0.149,2
54,0.243,3
55,0.26,4
56,0.285,4
57,0.332,5
58,0.353,5
59,0.347,5
60,0.455,6
61,0.399,6
62,0.423,6
63,0.481,7
64,0.411,6
65,0.489,7
66,0.467,7
67,0.565,8
68,0.517,8
69,0.519,8
70,0.523,8
71,0.529,8
72,0.549,8
73,0.461,7
74,0.56,8
75,0.513,8
76,0.532,8
77,0.528,8
78,0.537,8
79,0.47,7
80,0.533,8
81,0.472,7
82,0.514,7
83,0.487,7
84,0.408,6
85,0.398,6
86,0.334,5
87,0.382,6
88,0.34,5
89,0.373,6
90,0.329,6
91,0.263,6
92,0.209,6
93,0.177,6
94,0.159,6
95,0.138,6
96,0.142,6
97,0.144,6
98,0.12,6
99,0.075,6
100,0.035,6
101,0.013,6
102,0.003,6
103,0.001,6
104,0.0,6
105,0.0,6
106,0.0,6
107,0.0,6
108,0.0,6
109,0.0,6
110,0.0,6
111,0.0,6
112,0.0,6
113,0.0,6
114,0.0,6
115,0.042,7
116,0.036,7
117,0.044,7
118,0.057,7
119,0.065,7
120,0.074,7
121,0.135,8
122,0.116,8
123,0.124,8
124,0.197,9
125,0.185,9
126,0.183,9
127,0.169,9
128,0.219,10
129,0.208,10
130,0.251,11
131,0.214,11
132,0.184,11
133,0.168,11
134,0.21,12
135,0.2,12
136,0.185,11
137,0.169,11
138,0.152,11
139,0.175,11
140,0.167,11
141,0.257,12
142,0.228,11
143,0.328,12
144,0.305,11
145,0.414,12
146,0.357,11
147,0.39,11
148,0.37,11
149,0.405,11
150,0.388,11
151,0.429,11
152,0.383,11
153,0.43,11
154,0.445,12
155,0.401,11
156,0.407,11
157,0.399,11
158,0.4,11
159,0.418,11
160,0.393,10
161,0.485,11
162,0.424,10
163,0.491,11
164,0.442,10
165,0.409,9
166,0.479,10
167,0.473,10
168,0.461,9
169,0.426,8
170,0.506,9
171,0.432,8
172,0.488,9
173,0.441,8
174,0.462,8
175,0.502,8
176,0.497,8
177,0.533,8
178,0.505,8
179,0.563,9
180,0.469,9
181,0.403,9
182,0.338,9
183,0.294,9
184,0.286,10
185,0.235,10
186,0.246,11
187,0.214,11
188,0.207,11
189,0.249,12
190,0.214,12
191,0.206,12
192,0.249,13
193,0.206,13
194,0.237,14
195,0.21,14
196,0.239,15
197,0.232,15
198,0.21,15
199,0.22,16
200,0.176,16
201,0.154,16
202,0.193,17
203,0.153,17
204,0.186,18
205,0.157,18
206,0.139,18
207,0.159,19
208,0.111,19
209,0.088,19
210,0.126,20
211,0.087,20
212,0.12,21
213,0.089,21
214,0.08,21
215,0.106,22
216,0.069,22
217,0.095,23
218,0.068,23
219,0.035,23
220,0.071,24
221,0.029,24
222,0.013,24
223,0.006,24
224,0.001,24
225,0.0,24
226,0.0,23
227,0.005,23
228,0.019,23
229,0.013,22
230,0.035,22
231,0.061,22
232,0.056,21
233,0.089,21
